id,created_at,updated_at,is_active,case_type,type_name,ltype_name,full_form,lfull_form,type_flag,est_code_src,created_by_id,updated_by_id,reg_no,reg_year,annexure_type
84,2026-04-08 09:32:56.204901+00,2026-04-08 09:32:56.204909+00,t,31,BAIL APPLN.,NULL,Bail Application,NULL,2,SKHC01,NULL,NULL,NULL,NULL,P
85,2026-04-08 09:32:56.206763+00,2026-04-08 09:32:56.20677+00,t,16,Arb.A.,,Appeals Under Indian Arbiration Act,,1,SKHC01,NULL,NULL,NULL,NULL,A
87,2026-04-08 09:32:56.210983+00,2026-04-08 09:32:56.210989+00,t,49,Appeal(Crl.),,"Under Section 42 of the Prevention of Money Laundering Act, 2002",,2,SKHC01,NULL,NULL,NULL,NULL,A
89,2026-04-08 09:32:56.212962+00,2026-04-08 09:32:56.212967+00,t,13,MAC App.,,Motor Accident Appeals,,1,SKHC01,NULL,NULL,NULL,NULL,A
94,2026-04-08 09:32:56.218245+00,2026-04-08 09:32:56.21825+00,t,46,Tax App.,,"Tax App (Under Section 35(G) of the Central Excise Act,1994)",,1,SKHC01,NULL,NULL,NULL,NULL,A
95,2026-04-08 09:32:56.21927+00,2026-04-08 09:32:56.219275+00,t,12,Mat.App,,Matrimonial Appeals,,1,SKHC01,NULL,NULL,NULL,NULL,A
98,2026-04-08 09:32:56.222604+00,2026-04-08 09:32:56.222612+00,t,21,Crl. A.,NULL,Criminal Appeal,NULL,2,SKHC01,NULL,NULL,NULL,NULL,A
101,2026-04-08 09:32:56.225473+00,2026-04-08 09:32:56.225478+00,t,2,FAO,,First Appeal From Order,,1,SKHC01,NULL,NULL,NULL,NULL,A
105,2026-04-08 09:32:56.229766+00,2026-04-08 09:32:56.229773+00,t,53,Sp. A.,,Special Appeal,,1,SKHC01,NULL,NULL,NULL,NULL,A
107,2026-04-08 09:32:56.231685+00,2026-04-08 09:32:56.23169+00,t,3,CO,,Cross Objection In First Appeal,,1,SKHC01,NULL,NULL,NULL,NULL,A
108,2026-04-08 09:32:56.232594+00,2026-04-08 09:32:56.232599+00,t,39,C. M. App.,,Civil Miscellaneous Appeal,,1,SKHC01,NULL,NULL,NULL,NULL,A
110,2026-04-08 09:32:56.234476+00,2026-04-08 09:32:56.234481+00,t,55,Com. A.,,Commercial Appeal,,1,SKHC01,NULL,NULL,NULL,NULL,A
111,2026-04-08 09:32:56.235423+00,2026-04-08 09:32:56.235427+00,t,4,RSA,,Second Appeal From Judgment And Decree,,1,SKHC01,NULL,NULL,NULL,NULL,A
115,2026-04-08 09:32:56.24232+00,2026-04-08 09:32:56.242325+00,t,5,SAO,,Appeal From Appellate Other,,1,SKHC01,NULL,NULL,NULL,NULL,A
120,2026-04-08 09:32:56.247643+00,2026-04-08 09:32:56.247648+00,t,36,WA,,Writ Appeal,,1,SKHC01,NULL,NULL,NULL,NULL,A
118,2026-04-08 09:32:56.245458+00,2026-04-14 08:15:26.201185+00,t,1,RFA,,First Appeal From Judgment And Decree In Suit,,1,SKHC01,NULL,NULL,NULL,NULL,A
96,2026-04-08 09:32:56.220274+00,2026-04-08 09:32:56.220279+00,t,22,Crl. M. C.,NULL,Criminal Misc. Case,NULL,2,SKHC01,NULL,NULL,NULL,NULL,NULL
99,2026-04-08 09:32:56.223576+00,2026-04-08 09:32:56.223581+00,t,54,C.M.C,,Civil Misc. Case,,1,SKHC01,NULL,NULL,NULL,NULL,NULL
102,2026-04-08 09:32:56.226498+00,2026-04-08 09:32:56.226503+00,t,28,Cont.Cas (Crl),NULL,Cont. Cas,NULL,2,SKHC01,NULL,NULL,NULL,NULL,NULL
103,2026-04-08 09:32:56.227481+00,2026-04-08 09:32:56.227485+00,t,51,Appeal(C),,"Under Section 30 of the Employees'' Compentation Act,1923",,1,SKHC01,NULL,NULL,NULL,NULL,A
116,2026-04-08 09:32:56.2433+00,2026-04-08 09:32:56.243305+00,t,56,Test. Case,,Testamentary Case,,1,SKHC01,NULL,NULL,NULL,NULL,NULL
117,2026-04-08 09:32:56.244307+00,2026-04-08 09:32:56.244312+00,t,8,C.Ref,,Reference,,1,SKHC01,NULL,NULL,NULL,NULL,NULL
119,2026-04-08 09:32:56.246572+00,2026-04-08 09:32:56.246578+00,t,17,Cont. Cas(C),,Contempt Of Court Cases Relating To Civil Contempt,,1,SKHC01,NULL,NULL,NULL,NULL,P
88,2026-04-08 09:32:56.212+00,2026-04-08 09:32:56.212005+00,t,19,CRL. REV. P,NULL,Criminal Revision Petition,NULL,2,SKHC01,NULL,NULL,NULL,NULL,P
90,2026-04-08 09:32:56.214013+00,2026-04-08 09:32:56.214018+00,t,32,CRL.L.P,NULL,Criminal Leave Petition,NULL,2,SKHC01,NULL,NULL,NULL,NULL,P
91,2026-04-08 09:32:56.215045+00,2026-04-08 09:32:56.21505+00,t,29,Caveat Pet.,NULL,Caveat Petition,NULL,1,SKHC01,NULL,NULL,NULL,NULL,P
92,2026-04-08 09:32:56.21616+00,2026-04-08 09:32:56.216165+00,t,52,Suo Motu Transfer Petition(Crl.),,Suo Motu Transfer Petition(Crl.),,2,SKHC01,NULL,NULL,NULL,NULL,P
93,2026-04-08 09:32:56.21722+00,2026-04-08 09:32:56.217225+00,t,24,Review Pet.(Cr),NULL,Criminal Review Petiton,NULL,2,SKHC01,NULL,NULL,NULL,NULL,P
97,2026-04-08 09:32:56.221511+00,2026-04-08 09:32:56.221517+00,t,15,Arb.P.,,Petitions Under Indian Arbitration Act,,1,SKHC01,NULL,NULL,NULL,NULL,P
100,2026-04-08 09:32:56.224508+00,2026-04-08 09:32:56.224512+00,t,34,RP (FAM CT),NULL,Revision Petition,NULL,2,SKHC01,NULL,NULL,NULL,NULL,P
104,2026-04-08 09:32:56.228511+00,2026-04-08 09:32:56.228515+00,t,20,WP (Crl.),,Writ Petition Criminal,,2,SKHC01,NULL,NULL,NULL,NULL,P
106,2026-04-08 09:32:56.230757+00,2026-04-08 09:32:56.230762+00,t,23,Review Pet.,,Civil Review Petition,,1,SKHC01,NULL,NULL,NULL,NULL,P
